CS; cor_ts; p; sig
CyclomaticComplexity ; 0.36 ; 0.15336 ; 
NPathComplexity ; 0.4 ; 0.11166 ; 
ExcessiveMethodLength ; 0.4 ; 0.1106 ; 
ExcessiveClassLength ; 0.38 ; 0.13619 ; 
ExcessiveParameterList ; -0.4 ; 0.11539 ; 
ExcessivePublicCount ; 0.05 ; 0.83542 ; 
TooManyFields ; 0.11 ; 0.67603 ; 
TooManyMethods ; 0.28 ; 0.27547 ; 
TooManyPublicMethods ; 0.31 ; 0.22617 ; 
ExcessiveClassComplexity ; 0.42 ; 0.09085 ; 
NumberOfChildren ; 0.18 ; 0.4838 ; 
DepthOfInheritance ; 0 ;  ; 
CouplingBetweenObjects ; 0.27 ; 0.28728 ; 
DevelopmentCodeFragment ; 0.23 ; 0.38156 ; 
UnusedPrivateField ; 0 ;  ; 
UnusedLocalVariable ; -0.72 ; 0.00113 ;   *
UnusedPrivateMethod ; 0 ;  ; 
UnusedFormalParameter ; 0.14 ; 0.6025 ; 
embed.JS ; -0.64 ; 0.00546 ;   *
inline.JS ; -0.21 ; 0.42436 ; 
embed.CSS ; -0.24 ; 0.35827 ; 
inline.CSS ; -0.51 ; 0.03548 ;   *
css.in.JS ; -0.66 ; 0.00372 ;   *
css.in.JS..jquery ; 0.06 ; 0.80845 ; 
max.lines ; -0.27 ; 0.29506 ; 
max.lines.per.function ; 0.63 ; 0.00694 ;   *
max.params ; 0.31 ; 0.22315 ; 
complexity ; 0.57 ; 0.01788 ;   *
max.depth ; 0.12 ; 0.64131 ; 
max.nested.callbacks ; 0.42 ; 0.09202 ; 
