CS; cor_ts; p; sig
CyclomaticComplexity ; 0.48 ; 0.08208 ; 
NPathComplexity ; 0.56 ; 0.03894 ;   *
ExcessiveMethodLength ; 0.37 ; 0.19387 ; 
ExcessiveClassLength ; 0.41 ; 0.1447 ; 
ExcessiveParameterList ; -0.33 ; 0.25342 ; 
ExcessivePublicCount ; 0.03 ; 0.91109 ; 
TooManyFields ; 0.07 ; 0.81481 ; 
TooManyMethods ; 0.13 ; 0.66748 ; 
TooManyPublicMethods ; 0.52 ; 0.05507 ; 
ExcessiveClassComplexity ; 0.32 ; 0.21366 ; 
NumberOfChildren ; 0.3 ; 0.29051 ; 
DepthOfInheritance ; 0 ;  ; 
CouplingBetweenObjects ; 0.46 ; 0.10142 ; 
DevelopmentCodeFragment ; 0.72 ; 0.00374 ;   *
UnusedPrivateField ; 0 ;  ; 
UnusedLocalVariable ; -0.69 ; 0.00679 ;   *
UnusedPrivateMethod ; 0 ;  ; 
UnusedFormalParameter ; 0.21 ; 0.46643 ; 
embed.JS ; -0.45 ; 0.10953 ; 
inline.JS ; 0.83 ; 0.00023 ;   *
embed.CSS ; 0.83 ; 0.00021 ;   *
inline.CSS ; -0.27 ; 0.34483 ; 
css.in.JS ; -0.62 ; 0.01771 ;   *
css.in.JS..jquery ; 0.16 ; 0.57418 ; 
max.lines ; 0.5 ; 0.06593 ; 
max.lines.per.function ; 0.44 ; 0.11244 ; 
max.params ; 0.25 ; 0.39552 ; 
complexity ; 0.47 ; 0.08991 ; 
max.depth ; 0.21 ; 0.47491 ; 
max.nested.callbacks ; 0.07 ; 0.80111 ; 
